season,league
83,Aurora
83,Cascade
83,Elysium
83,Archipelago
83,Peninsula
83,Taiga
83,Wilderness
83,Piedmont
83,Coastal
83,Summit
83,Juniper
83,Polaris
83,Prairie
83,Union
83,Zenith
83,Tundra
83,Valley
83,Citadel
83,Fjord
83,Tidewater
83,Sierra
83,Badlands
83,Riviera
83,Seaboard
83,Keystone
83,Rubicon
83,Metro
84,Valhalla
84,Midland
84,Ravenna
84,Garden
84,Lyceum
84,Canyon
84,Glacier
84,Memorial
84,Maelstrom
84,Mesa
84,Magnolia
84,Laguna
84,Laurel
84,Galaxy
84,Meridian
84,Arcadia
84,Archipelago
84,Peninsula
84,Wilderness
84,Summit
84,Juniper
84,Prairie
84,Union
84,Citadel
84,Fjord
84,Riviera
84,Zephyr
84,Sugarloaf
84,Plaza
84,Maritime
84,Horizon
84,Spring
84,Atlantic
84,Nebula
84,Continental
84,Pacific
84,Skyline
84,Elysium
84,Tidewater
84,Sierra
84,Metro
84,Alpine
84,Morningstar
84,Xanadu
84,Commonwealth
84,Outback
84,Palisade
84,Yukon
84,Sequoia
84,Savanna
84,Central
84,Bayou
84,Typhoon
84,Highland
84,Seneca
84,Aurora
84,Badlands
84,Delta
84,Olympic
84,Corridor
84,Veldt
84,Quarry
84,Isthmus
84,Frontier
84,Utopia
84,Cascade
84,Taiga
84,Piedmont
84,Coastal
84,Polaris
84,Zenith
84,Rainforest
84,Tundra
84,Valley
84,Seaboard
84,Keystone
84,Rubicon
85,Valhalla
85,Midland
85,Ravenna
85,Garden
85,Lyceum
85,Canyon
85,Glacier
85,Memorial
85,Maelstrom
85,Mesa
85,Magnolia
85,Laguna
85,Laurel
85,Galaxy
85,Meridian
85,Arcadia
85,Denali
85,Archipelago
85,Peninsula
85,Wilderness
85,Hinterland
85,Summit
85,Juniper
85,Prairie
85,Union
85,Citadel
85,Fjord
85,Riviera
85,Sugarloaf
85,Zephyr
85,Plaza
85,Maritime
85,Horizon
85,Cosmos
85,Spring
85,Atlantic
85,Nebula
85,Continental
85,Pacific
85,Skyline
85,Elysium
85,Tidewater
85,Sierra
85,Metro
85,Alpine
85,Morningstar
85,Xanadu
85,Commonwealth
85,Outback
85,Palisade
85,Yukon
85,Sequoia
85,Savanna
85,Central
85,Bayou
85,Typhoon
85,Highland
85,Seneca
85,Aurora
85,Evergreen
85,Badlands
85,Delta
85,Olympic
85,Corridor
85,Veldt
85,Quarry
85,Isthmus
85,Frontier
85,Utopia
85,Cascade
85,Taiga
85,Piedmont
85,Coastal
85,Polaris
85,Zenith
85,Rainforest
85,Tundra
85,Valley
85,Seaboard
85,Keystone
85,Rubicon
86,Valhalla
86,Midland
86,Ravenna
86,Garden
86,Lyceum
86,Canyon
86,Glacier
86,Memorial
86,Maelstrom
86,Mesa
86,Magnolia
86,Laguna
86,Laurel
86,Galaxy
86,Meridian
86,Arcadia
86,Denali
86,Archipelago
86,Peninsula
86,Wilderness
86,Serengeti
86,Hinterland
86,Summit
86,Juniper
86,Prairie
86,Union
86,Citadel
86,Fjord
86,Riviera
86,Sugarloaf
86,Zephyr
86,Plaza
86,Maritime
86,Horizon
86,Cosmos
86,Orbital
86,Spring
86,Atlantic
86,Nebula
86,Pioneer
86,Continental
86,Pacific
86,Skyline
86,Elysium
86,Tidewater
86,Sierra
86,Metro
86,Alpine
86,Morningstar
86,Xanadu
86,Commonwealth
86,Outback
86,Palisade
86,Yukon
86,Sequoia
86,Savanna
86,Central
86,Bayou
86,Typhoon
86,Highland
86,Seneca
86,Windward
86,Aurora
86,Evergreen
86,Badlands
86,Patagonia
86,Delta
86,Olympic
86,Corridor
86,Veldt
86,Quarry
86,Isthmus
86,Frontier
86,Utopia
86,Cascade
86,Taiga
86,Piedmont
86,Coastal
86,Polaris
86,Zenith
86,Rainforest
86,Tundra
86,Valley
86,Seaboard
86,Keystone
86,Rubicon
87,Orange
87,Valhalla
87,Midland
87,Ravenna
87,Garden
87,Lyceum
87,Canyon
87,Glacier
87,Memorial
87,Maelstrom
87,Mesa
87,Magnolia
87,Laguna
87,Laurel
87,Galaxy
87,Village
87,Meridian
87,Arcadia
87,Denali
87,Boardwalk
87,Archipelago
87,Peninsula
87,Wilderness
87,Serengeti
87,Hinterland
87,Summit
87,Juniper
87,Prairie
87,Union
87,Citadel
87,Fjord
87,Riviera
87,Sugarloaf
87,Zephyr
87,Plaza
87,Maritime
87,Horizon
87,Cosmos
87,Orbital
87,Spring
87,Atlantic
87,Nebula
87,Pioneer
87,Continental
87,Pacific
87,Skyline
87,Elysium
87,Nova
87,Tidewater
87,Sierra
87,Metro
87,Alpine
87,Morningstar
87,Xanadu
87,Commonwealth
87,Outback
87,Palisade
87,Yukon
87,Sequoia
87,Savanna
87,Central
87,Bayou
87,Typhoon
87,Highland
87,Seneca
87,Windward
87,Aurora
87,Evergreen
87,Badlands
87,Patagonia
87,Delta
87,Sakura
87,Olympic
87,Corridor
87,Veldt
87,Quarry
87,Isthmus
87,Frontier
87,Utopia
87,Cascade
87,Taiga
87,Piedmont
87,Coastal
87,Polaris
87,Zenith
87,Rainforest
87,Tundra
87,Valley
87,Seaboard
87,Keystone
87,Rubicon
88,Orange
88,Valhalla
88,Midland
88,Ravenna
88,Garden
88,Lyceum
88,Canyon
88,Glacier
88,Memorial
88,Maelstrom
88,Mesa
88,Junction
88,Magnolia
88,Laguna
88,Laurel
88,Galaxy
88,Village
88,Meridian
88,Arcadia
88,Denali
88,Boardwalk
88,Archipelago
88,Peninsula
88,Wilderness
88,Serengeti
88,Hinterland
88,Summit
88,Juniper
88,Prairie
88,Union
88,Citadel
88,Fjord
88,Riviera
88,Sugarloaf
88,Zephyr
88,Plaza
88,Maritime
88,Horizon
88,Cosmos
88,River
88,Orbital
88,Monolith
88,Spring
88,Atlantic
88,Nebula
88,Pioneer
88,Continental
88,Pacific
88,Skyline
88,Elysium
88,Nova
88,Tidewater
88,Sierra
88,Metro
88,Alpine
88,Morningstar
88,Xanadu
88,Commonwealth
88,Outback
88,Palisade
88,Yukon
88,Sequoia
88,Savanna
88,Central
88,Bayou
88,Typhoon
88,Highland
88,Seneca
88,Windward
88,Aurora
88,Blue
88,Evergreen
88,Badlands
88,Patagonia
88,Delta
88,Sakura
88,Olympic
88,Corridor
88,Veldt
88,Quarry
88,Isthmus
88,Frontier
88,Foundry
88,Utopia
88,Cascade
88,Taiga
88,Piedmont
88,Coastal
88,Polaris
88,Zenith
88,Rainforest
88,Tundra
88,Valley
88,Seaboard
88,Keystone
88,Rubicon
89,Orange
89,Valhalla
89,Midland
89,Ravenna
89,Garden
89,Lyceum
89,Canyon
89,Glacier
89,Memorial
89,Maelstrom
89,Mesa
89,Junction
89,Magnolia
89,Laguna
89,Laurel
89,Galaxy
89,Village
89,Meridian
89,Arcadia
89,Denali
89,Boardwalk
89,Archipelago
89,Peninsula
89,Wilderness
89,Serengeti
89,Hinterland
89,Summit
89,Juniper
89,Prairie
89,Union
89,Citadel
89,Fjord
89,Riviera
89,Sugarloaf
89,Zephyr
89,Plaza
89,Maritime
89,Horizon
89,Cosmos
89,River
89,Orbital
89,Monolith
89,Spring
89,Atlantic
89,Nebula
89,Pioneer
89,Continental
89,Centennial
89,Pacific
89,Skyline
89,Elysium
89,Nova
89,Tidewater
89,Sierra
89,Metro
89,Alpine
89,Morningstar
89,Xanadu
89,Commonwealth
89,Outback
89,Palisade
89,Yukon
89,Sequoia
89,Savanna
89,Central
89,Bayou
89,Typhoon
89,Highland
89,Seneca
89,Windward
89,Aurora
89,Blue
89,Evergreen
89,Badlands
89,Patagonia
89,Delta
89,Sakura
89,Olympic
89,Corridor
89,Veldt
89,Sunrise
89,Quarry
89,Isthmus
89,Woodlands
89,Frontier
89,Foundry
89,Utopia
89,Meadow
89,Cascade
89,Taiga
89,Piedmont
89,Coastal
89,Polaris
89,Zenith
89,Rainforest
89,Tundra
89,Valley
89,Seaboard
89,Keystone
89,Rubicon
90,Orange
90,Valhalla
90,Midland
90,Ravenna
90,Garden
90,Lyceum
90,Canyon
90,Glacier
90,Memorial
90,Maelstrom
90,Mesa
90,Junction
90,Magnolia
90,Laguna
90,Laurel
90,Galaxy
90,Village
90,Meridian
90,Arcadia
90,Denali
90,Boardwalk
90,Archipelago
90,Peninsula
90,Wilderness
90,Serengeti
90,Hinterland
90,Summit
90,Juniper
90,Prairie
90,Union
90,Citadel
90,Fjord
90,Riviera
90,Sugarloaf
90,Zephyr
90,Plaza
90,Maritime
90,Horizon
90,Cosmos
90,River
90,Orbital
90,Monolith
90,Spring
90,Atlantic
90,Nebula
90,Pioneer
90,Continental
90,Centennial
90,Pacific
90,Skyline
90,Elysium
90,Nova
90,Tidewater
90,Sierra
90,Metro
90,Alpine
90,Morningstar
90,Xanadu
90,Commonwealth
90,Outback
90,Palisade
90,Yukon
90,Sequoia
90,Savanna
90,Central
90,Bayou
90,Typhoon
90,Highland
90,Seneca
90,Windward
90,Aurora
90,Blue
90,Evergreen
90,Badlands
90,Patagonia
90,Delta
90,Sakura
90,Olympic
90,Corridor
90,Veldt
90,Sunrise
90,Quarry
90,Isthmus
90,Woodlands
90,Frontier
90,Foundry
90,Utopia
90,Meadow
90,Cascade
90,Taiga
90,Piedmont
90,Coastal
90,Polaris
90,Zenith
90,Rainforest
90,Tundra
90,Valley
90,Seaboard
90,Keystone
90,Rubicon
91,Orange
91,Valhalla
91,Midland
91,Ravenna
91,Garden
91,Lyceum
91,Canyon
91,Glacier
91,Memorial
91,Maelstrom
91,Mesa
91,Junction
91,Magnolia
91,Laguna
91,Laurel
91,Galaxy
91,Village
91,Meridian
91,Arcadia
91,Denali
91,Boardwalk
91,Archipelago
91,Peninsula
91,Wilderness
91,Serengeti
91,Hinterland
91,Summit
91,Juniper
91,Prairie
91,Union
91,Citadel
91,Fjord
91,Riviera
91,Sugarloaf
91,Zephyr
91,Plaza
91,Maritime
91,Horizon
91,Cosmos
91,River
91,Orbital
91,Monolith
91,Spring
91,Atlantic
91,Nebula
91,Pioneer
91,Continental
91,Centennial
91,Pacific
91,Skyline
91,Elysium
91,Nova
91,Tidewater
91,Sierra
91,Metro
91,Alpine
91,Morningstar
91,Xanadu
91,Commonwealth
91,Outback
91,Palisade
91,Yukon
91,Sequoia
91,Savanna
91,Central
91,Bayou
91,Typhoon
91,Highland
91,Seneca
91,Windward
91,Aurora
91,Blue
91,Evergreen
91,Badlands
91,Patagonia
91,Delta
91,Sakura
91,Olympic
91,Corridor
91,Veldt
91,Sunrise
91,Quarry
91,Isthmus
91,Woodlands
91,Frontier
91,Foundry
91,Utopia
91,Meadow
91,Cascade
91,Taiga
91,Piedmont
91,Coastal
91,Polaris
91,Zenith
91,Rainforest
91,Tundra
91,Valley
91,Seaboard
91,Keystone
91,Rubicon
92,Orange
92,Valhalla
92,Midland
92,Ravenna
92,Garden
92,Lyceum
92,Canyon
92,Glacier
92,Memorial
92,Maelstrom
92,Mesa
92,Junction
92,Magnolia
92,Laguna
92,Laurel
92,Galaxy
92,Village
92,Meridian
92,Arcadia
92,Denali
92,Boardwalk
92,Archipelago
92,Peninsula
92,Wilderness
92,Serengeti
92,Hinterland
92,Summit
92,Juniper
92,Prairie
92,Union
92,Citadel
92,Fjord
92,Riviera
92,Sugarloaf
92,Zephyr
92,Plaza
92,Maritime
92,Horizon
92,Cosmos
92,River
92,Orbital
92,Monolith
92,Spring
92,Atlantic
92,Nebula
92,Pioneer
92,Continental
92,Centennial
92,Pacific
92,Skyline
92,Elysium
92,Nova
92,Tidewater
92,Sierra
92,Metro
92,Alpine
92,Morningstar
92,Xanadu
92,Commonwealth
92,Outback
92,Palisade
92,Yukon
92,Sequoia
92,Savanna
92,Central
92,Bayou
92,Typhoon
92,Highland
92,Seneca
92,Windward
92,Aurora
92,Blue
92,Evergreen
92,Badlands
92,Patagonia
92,Delta
92,Sakura
92,Olympic
92,Corridor
92,Veldt
92,Sunrise
92,Quarry
92,Isthmus
92,Woodlands
92,Frontier
92,Foundry
92,Utopia
92,Meadow
92,Cascade
92,Taiga
92,Piedmont
92,Coastal
92,Polaris
92,Zenith
92,Rainforest
92,Tundra
92,Valley
92,Seaboard
92,Keystone
92,Rubicon
93,Orange
93,Valhalla
93,Midland
93,Ravenna
93,Garden
93,Lyceum
93,Canyon
93,Glacier
93,Memorial
93,Maelstrom
93,Mesa
93,Junction
93,Magnolia
93,Laguna
93,Laurel
93,Galaxy
93,Village
93,Meridian
93,Arcadia
93,Denali
93,Boardwalk
93,Archipelago
93,Peninsula
93,Wilderness
93,Serengeti
93,Hinterland
93,Summit
93,Juniper
93,Prairie
93,Union
93,Citadel
93,Fjord
93,Riviera
93,Sugarloaf
93,Zephyr
93,Plaza
93,Maritime
93,Horizon
93,Cosmos
93,River
93,Orbital
93,Monolith
93,Spring
93,Atlantic
93,Nebula
93,Pioneer
93,Continental
93,Centennial
93,Pacific
93,Skyline
93,Elysium
93,Nova
93,Tidewater
93,Sierra
93,Metro
93,Alpine
93,Morningstar
93,Xanadu
93,Commonwealth
93,Outback
93,Palisade
93,Yukon
93,Sequoia
93,Savanna
93,Central
93,Bayou
93,Typhoon
93,Highland
93,Seneca
93,Windward
93,Aurora
93,Blue
93,Evergreen
93,Badlands
93,Patagonia
93,Delta
93,Sakura
93,Olympic
93,Corridor
93,Veldt
93,Sunrise
93,Quarry
93,Isthmus
93,Woodlands
93,Frontier
93,Foundry
93,Utopia
93,Meadow
93,Cascade
93,Taiga
93,Piedmont
93,Coastal
93,Polaris
93,Zenith
93,Rainforest
93,Tundra
93,Valley
93,Seaboard
93,Keystone
93,Rubicon
94,Orange
94,Valhalla
94,Midland
94,Ravenna
94,Garden
94,Lyceum
94,Canyon
94,Glacier
94,Memorial
94,Maelstrom
94,Mesa
94,Junction
94,Magnolia
94,Laguna
94,Laurel
94,Galaxy
94,Village
94,Meridian
94,Arcadia
94,Denali
94,Rainbow
94,Boardwalk
94,Archipelago
94,Peninsula
94,Wilderness
94,Serengeti
94,Hinterland
94,Summit
94,Juniper
94,Prairie
94,Union
94,Citadel
94,Fjord
94,Riviera
94,Sugarloaf
94,Zephyr
94,Plaza
94,Maritime
94,Horizon
94,Cosmos
94,River
94,Orbital
94,Monolith
94,Spring
94,Atlantic
94,Nebula
94,Pioneer
94,Continental
94,Centennial
94,Pacific
94,Harbor
94,Skyline
94,Elysium
94,Nova
94,Byzantium
94,Sierra
94,Tidewater
94,Metro
94,Cherry
94,Alpine
94,Quetzal
94,Morningstar
94,Xanadu
94,Commonwealth
94,Outback
94,Palisade
94,Yukon
94,Sequoia
94,Savanna
94,Central
94,Bayou
94,Typhoon
94,Highland
94,Seneca
94,Windward
94,Aurora
94,Blue
94,Volcano
94,Evergreen
94,Badlands
94,Forest
94,Patagonia
94,Delta
94,Sakura
94,Olympic
94,Corridor
94,Veldt
94,Sunrise
94,Quarry
94,Isthmus
94,Woodlands
94,Frontier
94,Foundry
94,Utopia
94,Meadow
94,Olive
94,Cascade
94,Taiga
94,Piedmont
94,Coastal
94,Polaris
94,Zenith
94,Rainforest
94,Tundra
94,Valley
94,Seaboard
94,Keystone
94,Rubicon
